Names,Website,Introduction,Phone Number,Address,Review Count,Average Review Count,Store Shopping,In Store Pickup,Delivery,Type,Opens At
ODION BUILDERS AND DEVELOPERS,odionbuilders.com,None Found,8025720202,"WJCW+J33, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",55.0,4.9,No,No,No,Real Estate Builders & Construction Company,
MP Design and Constructions,,None Found,9880077221,"26B KPTCL road Kasavanahalli Off Sarjapur road Land mark: Bata showroom Srinidi apparent,SBI and, next to CITY MART, Bengaluru, Karnataka 560035",47.0,4.4,No,No,No,Civil engineering company, Opens 10am Mon
Brundavana Constructions,,None Found,9731145327,"VJF8+PP5, Yelenahalli Main Rd, DLF Newtown, Akshayanagar, Bengaluru, Karnataka 560076",13.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Sri Durga construction,,None Found,9545298832,"VJF8+55G, 2nd Cross Rd, Akshayanagara West, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka 560076",2.0,5.0,No,No,No,Construction and maintenance office, Opens 9:30am Sun
BEST CONSTRUCTION COMPANY - MUCONS CONSTRUCTION (OPC) PRIVATE LIMITED,muconsconstruction.com,None Found,9535083580,"no. 52, 53, Begur - Hulimavu Rd, Bhagyalakshmi Avenue, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076",38.0,4.8,No,No,No,Real Estate Builders & Construction Company,
RSSN Infrastructures (We Build Your Dreams),,None Found,9901161696,"48/1, Begur - Koppa Rd, beside Eagle Ridge Resort, Yelenahalli, Akshayanagar, Bengaluru, Karnataka 560068",41.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
Design HeightsT Civil Engineers and Contractors,,None Found,9448452970,"435, 15th Cross Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068",66.0,4.8,No,No,No,Civil engineering company,
Next level construction,,None Found,9538987272,"1st Main Rd, Sugama Layout, Nyanappana Halli, Devarachikkana Halli, Bengaluru, Karnataka 560068",3.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
ss construction.Turnkey Projects,,None Found,9740350307,"2nd Cross.Mega venture Layout,Near Fun GALAXY, Hulimangala Main Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",14.0,4.9,No,No,No,Civil engineering company,
Sai Akshaya Construction,,None Found,9591919125,"35/1, 5th Cross Road, Vijayabarathi School Road, Post, Bhuvaneshwari Nagar, RT Nagar, Bengaluru, Karnataka 560032",13.0,4.2,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
NT Constructions,,None Found,8073655139,"1869/D, Pipeline Rd, near Balamuri Ganapathi Temple, 2nd Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",26.0,4.8,No,No,No,Real Estate Builders & Construction Company,
Feature Constructions,featureconstructions.com,None Found,7034830451,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",48.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
Rightcon Constructions Pvt Ltd - Premium Construction Contractors,rightcon.in,None Found,9606592959,"403, 8th B Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",28.0,4.9,No,No,No,Real Estate Builders & Construction Company,
Sahana Engineers-construction,sahanaengineers.com,None Found,9845018483,"No.38/39/8, 2nd cross, Subramanya Pura Main Road Kadirenahalli, Banashankari Stage II, Bengaluru, Karnataka 560070",33.0,4.8,No,No,No,Real Estate Builders & Construction Company,
Vee Engineers and Infrastructurs India Pvt Ltd,,None Found,9448287725,"No 42/1, Varsha Avalahalli, Old Madras Rd, near Great International School, Virgonagar, Bengaluru, Karnataka 560049",57.0,4.6,No,No,No,Real Estate Builders & Construction Company,
Tectonics Constructions - Construction Companies Bangalore | Best Construction company Bangalore | Civil Contractors,tectonicsconstruction.com,None Found,7892833188,"No#53, 3rd Main Rd, near prathyangira devi temple Hillview garden, Jayanagar housing society layout, Subramanyapura, Bengaluru, Karnataka 560061",48.0,4.8,No,No,No,Real Estate Builders & Construction Company,
Sri Construction Services | Reliable House Construction Company Bangalore,srirealty.in,None Found,9886336474,"Sy.No 68, Navarathna Gardens, 101, Floor -1, Kanakapura Rd, Doddakallasandra, Bengaluru, Karnataka 560062",11.0,5.0,No,No,No,Real Estate Builders & Construction Company,
VR masonry civil & renovation Bangalore,sites.google.com,None Found,9113280297,"803 1st floor, 8th Cross Rd, near chennammankkre, Manjunatha Colony, Thyagaraja Nagar, Banashankari, Bengaluru, Karnataka 560070",73.0,4.9,No,No,No,Masonry contractor, Opens 9am Sun
Nikhit Construction India Private Limited,,None Found,9980725374,"79A, 2 Floor, Metro Station Mysore Road, opp. Nayandahalli, Pantarapalya, Nayanda Halli, Bengaluru, Karnataka 560039",14.0,4.7,No,No,No,Civil engineering company,
Sribal Construction Company,sribal.in,None Found,8026861065,"Navaratan Gardens, Konanakunte, Bengaluru, Karnataka 560062",12.0,4.1,No,No,No,Real Estate Builders & Construction Company,
Sribal Construction Company,sribal.in,None Found,9448331415,"Navaratan Gardens, Konanakunte, Bengaluru, Karnataka 560062",12.0,4.1,No,No,No,Real Estate Builders & Construction Company,
CIVIL ENGINEERING CONSTRUCTION COMPANY- CECC,,None Found,8041499372,"2nd floor, #48/33, 50 Feet Main Rd, Srinivasanagara, Hanumanthnagar, Banashankari 1st Stage, Basavanagudi, Bengaluru, Karnataka 560019",3.0,4.7,No,No,No,Real Estate Builders & Construction Company,
Pentamension Construction,,None Found,9844660661,"#34,1st 'A' CROSS, 2nd Main Rd, Bank Colony, Chikkalasandra, Bengaluru, Karnataka 560061",9.0,4.9,No,No,No,Real Estate Builders & Construction Company,
HAK Civil Construction opc pvt ltd,hakcivilconstructionopcpvtltd.com,None Found,7795200529,"Vasanthapura Main Rd, Vasanthapura, Bengaluru, Karnataka 560062",38.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Raaga Constructions,raagagroup.com,None Found,9880908508,"493, 5th main, 15th Cross Road, near Indiranagar wood park, Indiranagar, Bengaluru, Karnataka 560038",42.0,4.8,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
NCS Construction Engineers & Contractors,,None Found,9886690180,"#409,4th floor,Anjandri Enclave, 9th Cross Rd, Parimala Nagar, Nandini Layout, Bengaluru, Karnataka 560096",53.0,4.9,No,No,No,Civil engineering company,
VDM Construction Company,vdmconstructions.com,None Found,9611112582,"203/B, 203, 18th C Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",26.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
PP Constructions,ppconstructions.in,None Found,9449563366,"No.18/2, Byraveshwara Complex, Beside Ceramic World, Outer Ring Rd, opp. to More Mega Store, Mahadevapura, Bengaluru, Karnataka 560048",16.0,4.8,No,No,No,Real Estate Builders & Construction Company,
Civil contractor Bangalore,,None Found,9632139901,"24, Near, Prestige Tech Park Rd, Devarabisanahalli, Varthur, Bengaluru, Karnataka 560103",9.0,4.9,No,No,No,Civil engineering company,
VeVe Constructions Pvt. Ltd.,veveconstructions.in,None Found,9972152180,"No. 1332/A, 4th Main Rd, Bharath Nagar, BEL Layout, 2nd Stage, Bharat Nagar, Bengaluru, Karnataka 560091",39.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 8am Mon
Econstruct Design & Build Pvt Ltd,e-construct.in,None Found,9036744017,"2nd Floor, Venkatdhari Heights, Parappana Agrahara Main Rd, opposite SAI POORNA PREMIER, Kudlu, Sai Meadows, Apartment, Bengaluru, Karnataka 560068",229.0,4.0,No,No,No,Real Estate Builders & Construction Company, Opens 7:30am Sun
JYOTHI CONSTRUCTION COMPANY,jyothiconstruction.com,None Found,9845393828,"19, 1st Cross Rd, near SBI Bank AC Post, Kanaka Nagar, Veerannapalya, Nagavara, Bengaluru, Karnataka 560045",229.0,4.7,No,No,No,Real Estate Builders & Construction Company,
Civil Contractors In Bangalore,,None Found,7760685123,"sulthan Palya Main Road, 64, 4th A Cross Rd, R.T.Nagar, Kanaka Nagar, Post, Bengaluru, Karnataka 560032",21.0,3.9,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Subhash Constructions,,None Found,9632913883,"Mirza Rd, Shamrao Layout, Vinayaka Nagar, Anekal, Anekal Rural, Karnataka 562106",1.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Subhash Constructions,mmconstruction.co.in,None Found,6360060601,"Mirza Rd, Shamrao Layout, Vinayaka Nagar, Anekal, Anekal Rural, Karnataka 562106",1.0,5.0,No,No,No,Real Estate Builders & Construction Company,
VSSR CONSULTANTS AND BUILDERS,,None Found,9481420333,"#3 , 1st Floor, Gowramma Complex, Anekal main road Near Athreya Hospital, Chandapura, pin- 560099 Mob.no- 9481420333, 9663377119, Chandapura, Bengaluru, Karnataka 560099",26.0,4.6,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
HARINISHREE CONSTRUCTION,,None Found,8951635126,"Attibele, Karnataka 562107",87.0,4.9,No,No,No,Civil engineer,
NR BuildTech,,None Found,9901609888,"3rd floor, Chowdeshwari Towers, Chandapura - Anekal Rd, opp. RK Greenland daba, Venkateshappa Layout, Terracon Residency, Suryanagar, Bengaluru, Chandrapura -Chatrakane, Karnataka 560099",7.0,4.7,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Sun
HOMR,,None Found,8883567666,"Unit 1, 380/1, Subramania Nagar Kal krishnappalayout, sarjapura hobli anekal taluk, Dommasandra, opposite to Subramania Devasthana, Bengaluru, Karnataka 562125",8.0,4.9,No,No,No,Real Estate Builders & Construction Company,
AJN Home & Developers,hccipl.com,None Found,9741999631,"Masjid Road Attibele, Bengaluru, Karnataka 562107",2.0,4.5,No,No,No,Real Estate Builders & Construction Company,
JKB CONSTRUCTION,,None Found,7204984833,"#5/B 1st stage, 2nd cross, mahakavi, Kalidasa Rd, Rayasandra, Bengaluru, Karnataka 560099",8.0,4.9,No,No,No,Real Estate Builders & Construction Company,
"Home Construction, Farm Houses - DLS Infrastructure",,None Found,6364565656,"#39 Ground Floor, 4th Cross, 1st Main Rd, Opp:KSRPC Quarters, Meenakshi Layout, Bengaluru, Karnataka 560099",19.0,4.8,No,No,No,Civil engineering company, Opens 8am Sun
ROHAN CONSTRUCTIONS,,None Found,9620818235,"283, 3rd, A-BLOCK, BDA Layout, Anjanapura Village, JP Nagar 9th Phase, J. P. Nagar, Bengaluru, Karnataka 560062",21.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 7am Sun
SNB Constructions,,None Found,9379529819,"Unnamed Road, Anjanapura 5th G Block, Anjanapura Twp, Bengaluru, Karnataka 560062",3.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Madilu Construction & interiors PVT. LTD,madiluconstruction.com,None Found,9108289086,"No 470, 16th main, 8th cross Rd, 10th block, Anjanapura, further extension, Bengaluru, Karnataka 560083",8.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Potential Engineers & Constructions,potentialengineers.in,None Found,8618236282,"2, 2nd floor, Next to metro pillar #237, byannapalya, vajarahalli, Kanakapura Rd, Bengaluru, Karnataka 560062",8.0,4.5,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Kanhaiya construction,,None Found,9845458309,"32, Kanakapura Rd, near eshwara temple, Udgir, Doddakallasandra, Konanakunte, Bengaluru, Karnataka 560062",2.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Kumud Innovator,kumudinnovator.com,None Found,9663252233,"NO:93 Lakshman Layout, near Union Bank, 8th Phase, Bengaluru, Karnataka 560083",15.0,4.5,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
RK construction,,None Found,8197978297,"8/117, Kanakapura Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560082",47.0,4.9,No,No,No,Civil engineer, Opens 9am Sun
RP Group - Construction and Waterproofing,rpgroupblr.com,None Found,9986026114,"Coconut Garden, 62, Bannerghatta Rd, Adi Bhyrava Layout, Sundar Ram Shetty Nagar, Arekere, Bengaluru, Karnataka 560076",52.0,4.8,No,No,No,Real Estate Builders & Construction Company,
A2Z Construction & Interiors,a2zrepairs.in,None Found,8971662283,"1st main, Bannerghatta Rd, Arekere MICO Layout 2nd stage, Bengaluru, Karnataka 560076",4.0,4.0,No,No,No,Interior designer,
Abode civil and interior,,None Found,9591548348,"Arekere MICO Layout 2nd stage, Raghavendra Layout, Arekere, Bengaluru, Karnataka 560076",23.0,5.0,No,No,No,Real Estate Builders & Construction Company,
VINAYAKA CONSTRUCTIONS,vinayakaconstructions.com,None Found,8035814844,"20, M.V Complex, Kothnur Dinne Main Rd, opp. Union Bank, Navodaya Nagar, JP Nagar 7th Phase, Bengaluru, Karnataka 560078",19.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 6pm Mon
Noble Construction Group,,None Found,9141336275,"282, 8B Cross Rd, Lakshmi Layout, JP Nagar 7th Phase, Arekere, Bengaluru, Karnataka 560076",5.0,4.0,No,No,No,Real Estate Builders & Construction Company,
Axis Concept Construction Pvt. Ltd.,axisconcept.in,None Found,8040903022,"555, 9th Cross Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",151.0,4.1,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
KAILASHDEV INFRASTRUCTURE INDIA PRIVATE LIMITED,kailashdev.com,None Found,9739619191,"No. 474, RBI Layout, Main Road, JP Nagar 7th Phase, Bengaluru, Karnataka 560078",36.0,4.4,No,No,No,Real Estate Builders & Construction Company,
Red Brick Consulting Engineers,redbrickbuilders.in,None Found,8197832196,"90/4, 4th Floor, P V R Tower, C R R Garden Sir M.V Road, Bannerghatta Rd, Arekere, Bengaluru, Karnataka 560076",16.0,4.7,No,No,No,Civil engineering company,
JAYASHREE ASSOCIATES INDIA PRIVATE LIMITED,,None Found,9845948901,"#37, 2nd Main Road, 3rd cross, Annapoorneshwari Layout, Chuncughatta, JP Nagar 7th Phase, J. P. Nagar, Bengaluru, Karnataka 560062",10.0,4.7,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
buildAhome,buildahome.in,None Found,7090005600,"1st Floor, Murari Tower, No. 27, 100ft road, Ashoka Pillar Rd, 2nd Block, Jayanagar, Bengaluru, Karnataka 560011",213.0,4.3,No,No,No,Custom home builder, Opens 9am Mon
Arvind and Rajan Constructions,arvindandrajanconstructions.com,None Found,8022443626,"5th Block, 35/37, CENTRUM, 2nd Floor, 11th Main Rd, Jayanagar, Bengaluru, Karnataka 560041",50.0,4.6,No,No,No,General contractor, Opens 9:30am Mon
BuildX.Homes- End to End Home Construction Company,buildxhomes.in,None Found,9902672727,"5th Floor, Shilpa Sunshine, 5, 27th Cross Road, 6th Main Rd, Jayanagar 3rd Block, Bengaluru, Karnataka 560011",71.0,4.5,No,No,No,Real Estate Builders & Construction Company,
Marvella Buildtech Pvt Ltd,marvellabuildtech.com,None Found,8043744499,"770, 3rd Floor, Vasavi Classic Building, 10th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",389.0,5.0,No,No,No,Home builder, Opens 10am Sun
Houselight Construction - Building Contractor,,None Found,9845530318,"19/1, 11th Cross Rd, Jaya Nagar 1st Block, Someshwara Nagar, Jayanagar, Bengaluru, Karnataka 560011",1.0,5.0,No,No,No,Real Estate Builders & Construction Company,
Sumukha Constructions,sumukhaconstructions.co.in,None Found,8026655119,"134, 7th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",43.0,4.1,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Space & Structure,,None Found,9448267764,"345, Ground Floor, Roopa Shree, 22nd Cross,, Near-Swimming Pool Jayanagar 1st Block East, 22nd Cross,, Jayanagar 1st Block, East Bengaluru, Karnataka 560011",33.0,4.8,No,No,No,Real Estate Builders & Construction Company,
ALPHA CONSTRUCTIONS,alphaconstructions.in,None Found,8026650486,"NO:61, E End Main Rd, NAL Layout, 4th T Block East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",13.0,3.4,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Sun
G R CONSTRUCTIONS,grconstructions.co.in,None Found,8041102291,"1st floor, Sri Durga Aura, 83/2, 33rd A Cross Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",18.0,4.3,No,No,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
Technic Construction,,None Found,9448395030,"Shop No. 22, 1st Floor, Kanakapura Main Road, near Yediyur lake, Tata Silk Farm, Basavanagudi, Bengaluru, Karnataka 560004",8.0,4.8,No,No,No,Builder,
Vatsala Constructions & Consultants Pvt Ltd.,vccpl.co.in,None Found,8041705279,"144, 23rd Cross Road, 12th Main Rd, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560011",60.0,4.0,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
"Builders in hosur, Architect hosur, Civil engineering ,Civil contractor and Construction company in hosur( VASAN BUILDERS)",vaasanbuilders.com,None Found,8747994484,"89/3A,1 st floor Inner Ring Road, Rayakotta Rd, Nanjundeswara Nagar, Hosur, Tamil Nadu 635109",183.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 10am Sun
Jeevitha Contractors,,None Found,9535066197,"Villa 56, Ittangur, Road, Sarjapura, Karnataka 562125",14.0,5.0,No,No,No,Civil engineering company,
ADITI CONSTRUCTIONS,aditiconstruction.co.in,None Found,9659998929,"Railway station, #72-2, BKR Complex, ESI Ring Rd, Hosur, Tamil Nadu 635109",28.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
AVP Construction (Registered Engineer),site.dgtechsoln.com,None Found,8072119522,"No.4/223, First Floor, Bus stop, Bagalur Rd, NGGO's Colony, Hosur, Avalapalli Hudco, Tamil Nadu 635109",12.0,4.9,No,No,No,Civil engineering company,
"BUILDING CONTRACTOR IN HOSUR , Construction , BUILDING RENOVATION, BUILDING DEMOLITION, Power Tools Rental Service IN HOSUR",youtube.com,None Found,7845020412,"muneeshwar temple, Alasanatham Rd, Hosur, Tamil Nadu 635109",76.0,4.9,No,No,No,Real Estate Builders & Construction Company,
HTK INVENT CONSTRUCTIONS & CONSULTANCY SERVICES (OPC) PVT. LTD,,None Found,9916599265,"No. 1905/833/1, Reddy Arcade, Chandapura - Anekal Rd, opposite Prestige kitchen M K, Kodandarama​ Reddy Layout, Chandapura, Bengaluru, Karnataka 560099",10.0,4.8,No,No,No,Real Estate Builders & Construction Company,
VETHA CONSTRUCTION,vethaconstruction.com,None Found,8870388810,"NO 1/638,2ND FLOOR, GS TOWERS, 1ST CROSS, NGGO's Colony, Ramanasree Nagar, Hosur, Tamil Nadu 635109",22.0,4.8,No,No,No,Civil engineering company,
"KIYARA ARCHITECTS, ENGINEERS AND CONSTRUCTION CONTRACTORS",,None Found,9535748640,"3/2-149, 8th cross, Vishnu Anandam Galaxy, Nallur Rd, Chithanapalli, Hosur, Tamil Nadu 635103",12.0,4.9,No,No,No,Real Estate Builders & Construction Company, Opens 10:30am Sun
Indal Infra,,None Found,7411227000,"Second Floor, Jayabharathi Complex, Circle, Attibele, Bengaluru, Karnataka 562107",2.0,3.5,No,No,No,Civil engineering company,
Nissi Constructions Mestri (Residential Building Contractor),,None Found,9008891443,"#496/B, Seegehalli Main Rd, Priyanka Nagar, Virgonagar, Post, Bengaluru, Karnataka 560049",51.0,4.8,No,No,No,Contractor,
Sree Lakshmi Builders & Karthik Construction.,,None Found,9945455817,"2 &3,4th Cross, Outer Ring Rd, Saraswathi Nagar, Mahadevapura, Bengaluru, Karnataka 560048",12.0,4.6,No,No,No,Civil engineering company, Opens 9am Mon
Aakash Constructions & Consultants,,None Found,9786757674,"No 10,3 rd B cross ravenna layout, Ramamurthy Nagar, Thambu Chetty Palya Main Rd, Anandapura, Kithaganur Colony, Bengaluru, Karnataka 560036",10.0,4.3,No,No,No,Civil engineering company,
J&K CONSTRUCTION CO.,,None Found,9793046600,"Near AMC ENGINEERING COLLEGE, LAXMIPURA ROAD, KALKERE, BANNERGHATTA POST ANEKAL, TALUK, Kalkere, Bengaluru, Karnataka 560083",4.0,5.0,No,No,No,Engineering consultant, Opens 9am Sun
JAY CONSTRUCTIONS AND CONSULTANTS,jaycc.in,None Found,9611028888,"NO 2305, FIRST FLOOR, MIG, 6th B Main Rd, 3rd phase, Yelahanka New Town, Bengaluru, Karnataka 560064",63.0,4.6,No,No,No,Real Estate Builders & Construction Company,
AIHIKA CONSTRUCTIONS,,None Found,9902266045,"90, Vidya Sagar Rd, near Shiva Temple Road, Ashwath Nagar, HBR Layout, Bengaluru, Karnataka 560077",8.0,5.0,No,No,No,Civil engineering company, Opens 10am Sun
CIVIL CONTRACTORS IN BANGALORE,,None Found,9164949900,"No-849,1st Floor, 4th Main Road, 12th Cross, Opp.Ashraya PlayHome, Near BDA, Complex, 1st Stage, Indiranagar, Bengaluru, Karnataka 560038",6.0,3.5,No,No,No,Real Estate Builders & Construction Company,
Lakshmi Nirman Bangalore Pvt Ltd,lakshminirman.com,None Found,9845042781,"15, Srikantan Layout, Crescent Rd, High Grounds, Bengaluru, Karnataka 560001",16.0,4.9,No,No,No,Real Estate Builders & Construction Company,
HM Group,hmconstructions.com,None Found,8042555555,"No.14/92, HM Geneva House, Cunningham Rd, SRT Road, Vasanth Nagar, Bengaluru, Karnataka 560052",314.0,4.1,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
Shimizu Corporation India Pvt Ltd,shimz-global.com,None Found,8043567777,"No.74, 4th Floor, Prestige Feroze” Building, Unit 402, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560052",81.0,4.2,No,No,No,Civil engineer, Opens 8am Sun
Vijaya Enterprises,vijaya.in,None Found,7676555444,"Sunkenahalli, Gavipuram Extn, Gavipuram Extention, Kempegowda Nagar, Bengaluru, Karnataka 560004",49.0,4.6,No,No,No,Real Estate Builders & Construction Company, Opens 10am Mon
Maloo Constructions,,None Found,8022264530,"A204, 25, Kalidasa Marg, Gandhi Nagar, Bengaluru, Karnataka 560009",8.0,4.9,No,No,No,Real Estate Builders & Construction Company,
Shankarnarayana Constructions Private Limited (SNC),ssncindia.co.in,None Found,8022109544,"No.9, Raja Ram Mohan Roy Rd, Ashok Nagar, Bengaluru, Karnataka 560025",54.0,4.1,No,No,No,Civil engineering company, Opens 8:30am Mon
Fortune Smart Builders,fortunesmartbuilders.com,None Found,7026986194,"metro station, No, 1st Main Rd, near srirampur, Nagapablock, Bengaluru, Karnataka 560021",49.0,5.0,No,No,No,Real Estate Builders & Construction Company, Opens 9am Mon
RAMALINGAM CONSTRUCTION COMPANY PVT LTD,ramalingam.in,None Found,8026744889,"NO : 1 , NR TOWER, SIRSI CIRCLE TO BINNY MILL ROAD, NEAR ETA NAMMA MALL, Ranganatha Colony, Bengaluru, Karnataka 560023",6.0,4.3,No,No,No,Real Estate Builders & Construction Company,
C.K Construction (Builder's & Contractor's) ),ckconstructionbangalore.com,None Found,6361456122,,13.0,4.7,No,No,No,Real Estate Builders & Construction Company, Opens 9am Sun
SK Constructions,skconstruction.info,None Found,8088180061,"7/5, 2nd Main Road, Dattatreya Nagar, Banashankari 3rd Stage, Hosakerehalli, Bengaluru, Karnataka 560085",56.0,5.0,No,No,No,Real Estate Builders & Construction Company,
S V Constructions,sv-constructions.com,None Found,8026721381,"95, 95/1, 4th cross, Timmaraya gowda layout, Ittamadu, Banashankari 3rd Stage, Bengaluru, Karnataka 560085",16.0,4.8,No,No,No,Real Estate Builders & Construction Company,
SAHASRA BUILDERS,sahasrabuilders.co.in,None Found,9611272222,"14, 1ST MAIN, SEETHA CIRCLE, opposite INDIAN OIL PETROL BUNK, SBM Colony, Banashankari 1st Stage, Bengaluru, Karnataka 560050",43.0,4.8,No,No,No,Real Estate Builders & Construction Company,
