Names,Website,Phone Number,Address,Review Count,Average Review Count,Delivery,Type,Opens At
M M Mechanics,,09611056627,"Swamy Temple, 28, Koramangala Road, 8th Block Koramangala, Near Ankeny, Bengaluru, Karnataka 560030",69.0,3.3,No,Garage builder, Opens 9:30am Sun
M M Mechanics,,09611056627,"Swamy Temple, 28, Koramangala Road, 8th Block Koramangala, Near Ankeny, Bengaluru, Karnataka 560030",4.0,5.0,No,Garage builder,
CoEvolve Estates,coevolvegroup.com,08025502550,"476, 2nd Floor, 80 Feet Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095",4.0,5.0,No,Real Estate Builders & Construction Company, Opens 10am Mon
Usha Builders and Infrastructure,ushabuilders.in,07019167562,"No.88, Koramangala 5th Block Jyothi Nivas College Koramangala, Koramangala, Industrial Area, Bengaluru, Karnataka 560095",52.0,4.9,No,Real Estate Builders & Construction Company, Opens 8am Sun
Best Construction Company,,08861448649,"WJMC+FXX, 1st Cross Rd, Srirampuram, 5th Block, Koramangala, Bengaluru, Karnataka 560095",3.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Sun
Rightcon Constructions Pvt Ltd - Premium Construction Contractors,rightcon.in,09606592959,"403, 8th B Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",28.0,4.9,No,Real Estate Builders & Construction Company,
TRC Engineering (I) Pvt. Ltd - Civil Engineering Services,trcww.in,08067593000,"5th Block, 109, 1st Main Rd, 5th Block, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095",76.0,4.6,No,Civil engineering company, Opens 8:30am Sun
Vakil Housing,vakilhousing.com,08041193293,"78, Jyoti Nivas College Rd, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095",533.0,4.6,No,Real Estate Builders & Construction Company, Opens 9am Mon
Building Renovation & Building Demolition & Masonry Contractor & civil work & Building Contractor IN BANGALORE,youtube.com,09964880668,"03, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",302.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
White Projects,whiteprojects.in,08046665555,"House of White, #75, Hosur Road, 5th Block, Industrial Area, Koramangala, Bengaluru, Karnataka 560095",81.0,4.8,No,Real Estate Builders & Construction Company, Opens 9:30am Sun
Anugraha Constructions,anugrahaconstructions.com,09738051333,"467, 17th C Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",3.0,5.0,No,Real Estate Builders & Construction Company,
kundur construction,kundur.in,08041670037,"67B, 17th D Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560047",3.0,4.3,No,Real Estate Builders & Construction Company, Opens 10am Sun
S & G Metal Building Solutions India Private Limited - S & G Metal Roofing Company,sgmetals.net,09686552621,"74/2A, 2nd Floor, K.R.Garden, Opp NDDB, 80 Feet Main Rd, Koramangala 8th Block, Ejipura, Bengaluru, Karnataka 560095",13.0,3.5,No,Real Estate Builders & Construction Company,
CoEvolve Estates,coevolvegroup.com,08025502550,"476, 2nd Floor, 80 Feet Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095",13.0,4.4,No,Real Estate Builders & Construction Company, Opens 10am Mon
DIVIS CONSTRUCTIONS,divisconstructions.com,08883040765,"Madiwala Underpass, Madiwala, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068",4.0,5.0,No,Real Estate Builders & Construction Company,
Royallinks Constructions Bangalore - House Construction Company,royallinks.in,09980643040,"First Floor 3rd Sector, No: 765,16th Main, 22nd Cross Rd, near HSR Club, HSR Layout, Bengaluru, Karnataka 560102",73.0,4.8,No,Real Estate Builders & Construction Company,
Building Renovation & Building Demolition & Masonry Contractor & civil work & Building Contractor IN BANGALORE,youtube.com,09964880668,"03, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",302.0,4.8,No,Real Estate Builders & Construction Company,
SREE NIDHI CONSTRUCTION,,09902122582,"No 199 Vasavi Homes, Madiwala, Karnataka 562106",1.0,5.0,No,Civil engineering company,
Jeevitha Contractors,,09535066197,"Villa 56, Ittangur, Road, Sarjapura, Karnataka 562125",14.0,5.0,No,Civil engineering company, Opens 9:30am
MFAR Constructions Private Limited,mfarconstructions.com,08041102170,"8 & 8A, 80 Feet Rd, AVS Compound, 4th Block, Koramangala, Bengaluru, Karnataka 560034",164.0,4.3,No,Real Estate Builders & Construction Company, Opens 8am
Feature Constructions,featureconstructions.com,07034830451,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",48.0,4.8,No,Real Estate Builders & Construction Company,
Sahana Engineers-construction,sahanaengineers.com,09845018483,"No.38/39/8, 2nd cross, Subramanya Pura Main Road Kadirenahalli, Banashankari Stage II, Bengaluru, Karnataka 560070",33.0,4.8,No,Real Estate Builders & Construction Company,
Sahana Engineers-construction,sahanaengineers.com,09845018483,"No.38/39/8, 2nd cross, Subramanya Pura Main Road Kadirenahalli, Banashankari Stage II, Bengaluru, Karnataka 560070",33.0,4.8,No,Real Estate Builders & Construction Company, Opens 9:45am Mon
Sahana Engineers-construction,rakconstruction.in,08041101467,"RAK Chambers, R.A.K Chambers # 155, 11th Cross, 17th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",33.0,4.8,No,Real Estate Builders & Construction Company,
R A K Construction,rakconstruction.in,08041101467,"RAK Chambers, R.A.K Chambers # 155, 11th Cross, 17th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",64.0,4.3,No,Real Estate Builders & Construction Company, Opens 7am
R A K Construction,rakconstruction.in,08041101467,"RAK Chambers, R.A.K Chambers # 155, 11th Cross, 17th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",64.0,4.3,No,Real Estate Builders & Construction Company,
Builders Developers Civil Engineering Interiors Construction and Demolishing Engineers,,09341313919,"41, 11th Main Rd, KEB Colony, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",64.0,4.3,No,Civil engineering company, Opens 9am Mon
Nissi Constructions Mestri (Residential Building Contractor),,09008891443,"#496/B, Seegehalli Main Rd, Priyanka Nagar, Virgonagar, Post, Bengaluru, Karnataka 560049",,,No,Contractor,
Nissi Constructions Mestri (Residential Building Contractor),,09008891443,"#496/B, Seegehalli Main Rd, Priyanka Nagar, Virgonagar, Post, Bengaluru, Karnataka 560049",51.0,4.8,No,Contractor, Opens 9am Mon
Nissi Constructions Mestri (Residential Building Contractor),,09008891443,"#496/B, Seegehalli Main Rd, Priyanka Nagar, Virgonagar, Post, Bengaluru, Karnataka 560049",51.0,4.8,No,Construction and maintenance office,
TAJ BRILLIANT CONSTRUCTIONS,,09483137565,"No. 807/79, 1st Floor, 24th Main Rd, 2nd Sector, Agara Village, HSR Layout, Bengaluru, Karnataka 560102",13.0,4.7,No,Interior construction contractor,
R A K Construction,rakconstruction.in,08041101467,"RAK Chambers, R.A.K Chambers # 155, 11th Cross, 17th Main Rd, Sector 4, HSR Layout, Bengaluru, Karnataka 560102",64.0,4.3,No,Real Estate Builders & Construction Company, Opens 10am Sun
JRN Constructions,jrnconstructions.com,09945767453,"2763D, 22nd Main Rd, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",32.0,5.0,No,Real Estate Builders & Construction Company,
United Construction Company,,09902266371,"410, 3rd floor, NR Complex, 24th Main Rd, 2nd Sector, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",12.0,4.9,No,Real Estate Builders & Construction Company, Opens 9:30am Mon
MJR Builders Private Limited,mjrbuilders.in,08048507166,"444, Grand, 3rd Floor, 16th Cross, 5th Main Rd, near Titan Eye Showroom, 6th Sector, HSR Layout, Bengaluru, Karnataka 560102",212.0,4.7,No,Real Estate Builders & Construction Company,
Sai Developers construction company,,09343143777,"#1035,1st Floor, 9th Cross, 24th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",10.0,4.6,No,Real Estate Builders & Construction Company, Opens 9am Mon
CK Brad Group,,09866504085,"#7 & 8, 3rd Floor, 560102, 27th Main Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",19.0,4.5,No,Real Estate Builders & Construction Company,
Hightower Constructions,hightowerconstructions.com,06366079333,"1564, Revanna's building, HUSTLEHUB Tech Park No, 27th Main Rd, 2nd Sector, ITI Layout, HSR Layout, Bengaluru, Karnataka 560102",46.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Sun
Building Renovation & Building Demolition & Masonry Contractor & civil work & Building Contractor IN BANGALORE,youtube.com,09964880668,"03, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",302.0,4.8,No,Real Estate Builders & Construction Company, Opens 10am Sun
Mythree Infratech Pvt Ltd,,09164789898,"1st floor, 27th Main Rd, Broadway Building, Agara Village, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",19.0,5.0,No,Real Estate Builders & Construction Company,
Uniquebuildss construction & Interiors,uniquebuildss.com,09606092193,"234, 9th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560102",44.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
Aeon Building Solutions,,09632247199,"2nd Floor, 329, 27th Main Rd, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",77.0,4.9,No,Real Estate Builders & Construction Company,
NammaHome Infra & tech pvt Ltd | Home construction company in Bangalore | Turn-key construction company in bangalore,nammahome.co,08105337220,"1192/1, 2nd floor 22nd cross, 24th Main Rd, 2nd Sector, HSR Layout, Bengaluru, Karnataka 560102",28.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Sun
ODION BUILDERS AND DEVELOPERS,odionbuilders.com,08025720202,"WJCW+J33, Agara Village, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",55.0,4.9,No,Real Estate Builders & Construction Company,
MP Design and Constructions,,09880077221,"26B KPTCL road Kasavanahalli Off Sarjapur road Land mark: Bata showroom Srinidi apparent,SBI and, next to CITY MART, Bengaluru, Karnataka 560035",47.0,4.4,No,Civil engineering company, Opens 10am Mon
Brundavana Constructions,,09731145327,"VJF8+PP5, Yelenahalli Main Rd, DLF Newtown, Akshayanagar, Bengaluru, Karnataka 560076",13.0,5.0,No,Real Estate Builders & Construction Company,
Sri Durga construction,,09545298832,"VJF8+55G, 2nd Cross Rd, Akshayanagara West, Akshaya Vana, Akshayanagar, Bengaluru, Karnataka 560076",2.0,5.0,No,Construction and maintenance office, Opens 9:30am Sun
BEST CONSTRUCTION COMPANY - MUCONS CONSTRUCTION (OPC) PRIVATE LIMITED,muconsconstruction.com,09535083580,"no. 52, 53, Begur - Hulimavu Rd, Bhagyalakshmi Avenue, Krishna Layout, Hulimavu, Bengaluru, Karnataka 560076",38.0,4.8,No,Real Estate Builders & Construction Company,
RSSN Infrastructures (We Build Your Dreams),,09901161696,"48/1, Begur - Koppa Rd, beside Eagle Ridge Resort, Yelenahalli, Akshayanagar, Bengaluru, Karnataka 560068",41.0,4.8,No,Real Estate Builders & Construction Company, Opens 10am Sun
Design HeightsT Civil Engineers and Contractors,,09448452970,"435, 15th Cross Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068",66.0,4.8,No,Civil engineering company,
Next level construction,,09538987272,"1st Main Rd, Sugama Layout, Nyanappana Halli, Devarachikkana Halli, Bengaluru, Karnataka 560068",3.0,5.0,No,Real Estate Builders & Construction Company, Opens 10am Sun
ss construction.Turnkey Projects,,09740350307,"2nd Cross.Mega venture Layout,Near Fun GALAXY, Hulimangala Main Rd, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100",14.0,4.9,No,Civil engineering company,
Sai Akshaya Construction,,09591919125,"35/1, 5th Cross Road, Vijayabarathi School Road, Post, Bhuvaneshwari Nagar, RT Nagar, Bengaluru, Karnataka 560032",13.0,4.2,No,Real Estate Builders & Construction Company, Opens 9am Sun
NT Constructions,,08073655139,"1869/D, Pipeline Rd, near Balamuri Ganapathi Temple, 2nd Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",26.0,4.8,No,Real Estate Builders & Construction Company,
Feature Constructions,featureconstructions.com,07034830451,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",48.0,4.8,No,Real Estate Builders & Construction Company, Opens 10am Sun
Feature Constructions,featureconstructions.com,07034830451,"No-19, 3rd Cross Rd, Raghuvanahalli, Bangalore City Municipal Corporation Layout, Bengaluru, Karnataka 560062",48.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
Vee Engineers and Infrastructurs India Pvt Ltd,,09448287725,"No 42/1, Varsha Avalahalli, Old Madras Rd, near Great International School, Virgonagar, Bengaluru, Karnataka 560049",57.0,4.6,No,Real Estate Builders & Construction Company,
Royallinks Constructions Bangalore - House Construction Company,royallinks.in,09980643040,"First Floor 3rd Sector, No: 765,16th Main, 22nd Cross Rd, near HSR Club, HSR Layout, Bengaluru, Karnataka 560102",73.0,4.8,No,Real Estate Builders & Construction Company, Opens 7am Sun
Tectonics Constructions - Construction Companies Bangalore | Best Construction company Bangalore | Civil Contractors,tectonicsconstruction.com,07892833188,"No#53, 3rd Main Rd, near prathyangira devi temple Hillview garden, Jayanagar housing society layout, Subramanyapura, Bengaluru, Karnataka 560061",48.0,4.8,No,Real Estate Builders & Construction Company,
Sri Construction Services | Reliable House Construction Company Bangalore,srirealty.in,09886336474,"Sy.No 68, Navarathna Gardens, 101, Floor -1, Kanakapura Rd, Doddakallasandra, Bengaluru, Karnataka 560062",11.0,5.0,No,Real Estate Builders & Construction Company,
VR masonry civil & renovation Bangalore,sites.google.com,09113280297,"803 1st floor, 8th Cross Rd, near chennammankkre, Manjunatha Colony, Thyagaraja Nagar, Banashankari, Bengaluru, Karnataka 560070",73.0,4.9,No,Masonry contractor, Opens 9am Sun
Nikhit Construction India Private Limited,,09980725374,"79A, 2 Floor, Metro Station Mysore Road, opp. Nayandahalli, Pantarapalya, Nayanda Halli, Bengaluru, Karnataka 560039",14.0,4.7,No,Civil engineering company,
Sribal Construction Company,sribal.in,08026861065,"Navaratan Gardens, Konanakunte, Bengaluru, Karnataka 560062",12.0,4.1,No,Real Estate Builders & Construction Company,
Sribal Construction Company,sribal.in,08026861065,"Navaratan Gardens, Konanakunte, Bengaluru, Karnataka 560062",12.0,4.1,No,Real Estate Builders & Construction Company, Closes 7:30am Sun
Sribal Construction Company,sribal.in,09448331415,"Navaratan Gardens, Konanakunte, Bengaluru, Karnataka 560062",12.0,4.1,No,Real Estate Builders & Construction Company,
CIVIL ENGINEERING CONSTRUCTION COMPANY- CECC,,08041499372,"2nd floor, #48/33, 50 Feet Main Rd, Srinivasanagara, Hanumanthnagar, Banashankari 1st Stage, Basavanagudi, Bengaluru, Karnataka 560019",3.0,4.7,No,Real Estate Builders & Construction Company,
CIVIL ENGINEERING CONSTRUCTION COMPANY- CECC,,08041499372,"2nd floor, #48/33, 50 Feet Main Rd, Srinivasanagara, Hanumanthnagar, Banashankari 1st Stage, Basavanagudi, Bengaluru, Karnataka 560019",9.0,4.9,No,Real Estate Builders & Construction Company, Opens 9am Mon
Pentamension Construction,,09844660661,"#34,1st 'A' CROSS, 2nd Main Rd, Bank Colony, Chikkalasandra, Bengaluru, Karnataka 560061",9.0,4.9,No,Real Estate Builders & Construction Company,
HAK Civil Construction opc pvt ltd,hakcivilconstructionopcpvtltd.com,07795200529,"Vasanthapura Main Rd, Vasanthapura, Bengaluru, Karnataka 560062",38.0,4.9,No,Real Estate Builders & Construction Company, Opens 9am Mon
Building Renovation & Building Demolition & Masonry Contractor & civil work & Building Contractor IN BANGALORE,youtube.com,09964880668,"03, Konappana Agrahara, Electronic City, Bengaluru, Karnataka 560100",302.0,4.8,No,Real Estate Builders & Construction Company, Opens 7am
Civil contractor Bangalore,,09632139901,"24, Near, Prestige Tech Park Rd, Devarabisanahalli, Varthur, Bengaluru, Karnataka 560103",9.0,4.9,No,Civil engineering company,
KK Civil Contractors,kkcivilcontractor.com,08023185426,"#99, 4th Floor, "" K K Arcade, 60 Feet Rd, Chandra Layout, Bengaluru, Karnataka 560040",62.0,4.5,No,Contractor,
RAMALINGAM CONSTRUCTION COMPANY PVT LTD,ramalingam.in,08026744889,"NO : 1 , NR TOWER, SIRSI CIRCLE TO BINNY MILL ROAD, NEAR ETA NAMMA MALL, Ranganatha Colony, Bengaluru, Karnataka 560023",91.0,4.3,No,Real Estate Builders & Construction Company, Opens 9am Mon
Surya Construction,suryaconstructionsblr.com,09980848558,"Chikkagubbi Village, Bengaluru, Karnataka 560077",3.0,4.7,No,Civil engineering company, Opens 10am Mon
"Home Construction, Farm Houses - DLS Infrastructure",,06364565656,"#39 Ground Floor, 4th Cross, 1st Main Rd, Opp:KSRPC Quarters, Meenakshi Layout, Bengaluru, Karnataka 560099",19.0,4.8,No,Civil engineering company,
NT Constructions,,08073655139,"1869/D, Pipeline Rd, near Balamuri Ganapathi Temple, 2nd Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",26.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Mon
Sai Akshaya Construction,,09591919125,"35/1, 5th Cross Road, Vijayabarathi School Road, Post, Bhuvaneshwari Nagar, RT Nagar, Bengaluru, Karnataka 560032",13.0,4.2,No,Real Estate Builders & Construction Company,
Nissi Constructions Mestri (Residential Building Contractor),,09008891443,"#496/B, Seegehalli Main Rd, Priyanka Nagar, Virgonagar, Post, Bengaluru, Karnataka 560049",51.0,4.8,No,Contractor, Opens 9am
NCS Construction Engineers & Contractors,,09886690180,"#409,4th floor,Anjandri Enclave, 9th Cross Rd, Parimala Nagar, Nandini Layout, Bengaluru, Karnataka 560096",53.0,4.9,No,Civil engineering company,
Design HeightsT Civil Engineers and Contractors,,09448452970,"435, 15th Cross Rd, Vishwapriya Nagar, Begur, Bengaluru, Karnataka 560068",66.0,4.8,No,Civil engineering company, Opens 9:30am Mon
"BYNA CONSTRUCTIONS, Proprietor M.B.H.Gowda",,08971888575,"04, Hesarghatta Rd, opposite to ASCENT PU COLLEGE, Havanur Layout, Bagalakunte, Bengaluru, Karnataka 560057",66.0,4.6,No,Civil engineering company,
Sree Lakshmi Builders & Karthik Construction.,,09945455817,"2 &3,4th Cross, Outer Ring Rd, Saraswathi Nagar, Mahadevapura, Bengaluru, Karnataka 560048",22.0,4.6,No,Civil engineering company, Opens 10am
Asita Associates,,09448331415,"12, 1st Main Rd, 3rd Phase, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085",12.0,4.6,No,Real Estate Builders & Construction Company,
Jeevitha Contractors,,09535066197,"Villa 56, Ittangur, Road, Sarjapura, Karnataka 562125",14.0,4.9,No,Civil engineering company, Opens 9:45am Mon
Nikhit Construction India Private Limited,,09980725374,"79A, 2 Floor, Metro Station Mysore Road, opp. Nayandahalli, Pantarapalya, Nayanda Halli, Bengaluru, Karnataka 560039",28.0,4.7,No,Civil engineering company, Opens 9am Mon
Sahana Engineers-construction,sahanaengineers.com,09845018483,"No.38/39/8, 2nd cross, Subramanya Pura Main Road Kadirenahalli, Banashankari Stage II, Bengaluru, Karnataka 560070",33.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Sun
VR masonry civil & renovation Bangalore,sites.google.com,09113280297,"803 1st floor, 8th Cross Rd, near chennammankkre, Manjunatha Colony, Thyagaraja Nagar, Banashankari, Bengaluru, Karnataka 560070",73.0,4.9,No,Masonry contractor,
Raaga Constructions,raagagroup.com,09880908508,"493, 5th main, 15th Cross Road, near Indiranagar wood park, Indiranagar, Bengaluru, Karnataka 560038",42.0,4.8,No,Real Estate Builders & Construction Company, Opens 10am Mon
VDM Construction Company,vdmconstructions.com,09611112582,"203/B, 203, 18th C Main Rd, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560008",26.0,5.0,No,Real Estate Builders & Construction Company, Opens 9am Mon
PP Constructions,ppconstructions.in,09449563366,"No.18/2, Byraveshwara Complex, Beside Ceramic World, Outer Ring Rd, opp. to More Mega Store, Mahadevapura, Bengaluru, Karnataka 560048",16.0,4.8,No,Real Estate Builders & Construction Company,
VeVe Constructions Pvt. Ltd.,veveconstructions.in,09972152180,"No. 1332/A, 4th Main Rd, Bharath Nagar, BEL Layout, 2nd Stage, Bharat Nagar, Bengaluru, Karnataka 560091",39.0,5.0,No,Real Estate Builders & Construction Company, Opens 8am Mon
Asita Associates,,09448331415,"12, 1st Main Rd, 3rd Phase, Banashankari 3rd Stage, Banashankari, Bengaluru, Karnataka 560085",14.0,4.9,No,Real Estate Builders & Construction Company,
NT Constructions,,08073655139,"1869/D, Pipeline Rd, near Balamuri Ganapathi Temple, 2nd Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",26.0,4.8,No,Real Estate Builders & Construction Company, Opens 9am Sun
Econstruct Design & Build Pvt Ltd,e-construct.in,09036744017,"2nd Floor, Venkatdhari Heights, Parappana Agrahara Main Rd, opposite SAI POORNA PREMIER, Kudlu, Sai Meadows, Apartment, Bengaluru, Karnataka 560068",229.0,4.0,No,Real Estate Builders & Construction Company, Opens 7:30am Sun
JYOTHI CONSTRUCTION COMPANY,jyothiconstruction.com,09845393828,"19, 1st Cross Rd, near SBI Bank AC Post, Kanaka Nagar, Veerannapalya, Nagavara, Bengaluru, Karnataka 560045",229.0,4.7,No,Real Estate Builders & Construction Company,
Civil Contractors In Bangalore,,07760685123,"sulthan Palya Main Road, 64, 4th A Cross Rd, R.T.Nagar, Kanaka Nagar, Post, Bengaluru, Karnataka 560032",21.0,3.9,No,Real Estate Builders & Construction Company, Opens 9am Mon
Vasu Constructions and Builders - Yelahanka New Town,vasuconstructions.in,08151908055,"3, Ground Floor, 9th A Cross Rd, Sector A, Yelahanka Satellite Town, Yelahanka New Town, Bengaluru, Karnataka 560064",94.0,5.0,No,Civil engineering company, Opens 9am
JAY CONSTRUCTIONS AND CONSULTANTS,jaycc.in,09611028888,"NO 2305, FIRST FLOOR, MIG, 6th B Main Rd, 3rd phase, Yelahanka New Town, Bengaluru, Karnataka 560064",63.0,4.6,No,Real Estate Builders & Construction Company,
